04/03/2021 16:24:13,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4512.11
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:25:14,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4674.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:47:34,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4680.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:48:35,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4782.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:49:35,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4776.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:50:36,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4782.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:51:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4770.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:52:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4770.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:53:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4770.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:54:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4782.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:55:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4782.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:56:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4776.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:57:37,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4782.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:58:38,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4776.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 16:59:38,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4776.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 17:00:39,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4764.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 17:01:39,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
,A3,MQ6,4764.12
,Magellan response,,
,The requested operation was succesfully.,,
04/03/2021 17:02:39,Port,Name port,Port value
,A0,sensor,0.00
,A1,light sensor,0.00
,A2,RTD,-100.00
